"ltv","ttime","abt","tue"
"{""n"":""425""}","{""n"":""10865797""}","{""n"":""7""}","{""n"":""189""}"
"{""n"":""175""}","{""n"":""1318836""}","{""n"":""24""}","{""n"":""23""}"
"{""n"":""200""}","{""n"":""34126""}","{""n"":""48""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""499010""}","{""n"":""1""}","{""n"":""35""}"
"{""n"":""200""}","{""n"":""152831""}","{""n"":""2""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""566630""}","{""n"":""22""}","{""n"":""21""}"
"{""n"":""250""}","{""n"":""1104472""}","{""n"":""45""}","{""n"":""38""}"
"{""n"":""172""}","{""n"":""0""}","{""n"":""8""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""10095""}","{""n"":""60""}","{""n"":""15""}"
"{""n"":""600""}","{""n"":""315356""}","{""n"":""33""}","{""n"":""24""}"
"{""n"":""200""}","{""n"":""16019""}","{""n"":""59""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""2110557""}","{""n"":""12""}","{""n"":""87""}"
"{""n"":""600""}","{""n"":""1257516""}","{""n"":""47""}","{""n"":""35""}"
"{""n"":""600""}","{""n"":""6980522""}","{""n"":""17""}","{""n"":""180""}"
"{""n"":""200""}","{""n"":""869572""}","{""n"":""57""}","{""n"":""53""}"
"{""n"":""56.00000000000001""}","{""n"":""782026""}","{""n"":""23""}","{""n"":""19""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""57""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""37928""}","{""n"":""44""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""15898""}","{""n"":""3""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""113411""}","{""n"":""22""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""743174""}","{""n"":""56""}","{""n"":""100""}"
"{""n"":""400""}","{""n"":""61477""}","{""n"":""10""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""7434175""}","{""n"":""11""}","{""n"":""119""}"
"{""n"":""250""}","{""n"":""0""}","{""n"":""9""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""881646""}","{""n"":""30""}","{""n"":""38""}"
"{""n"":""400""}","{""n"":""3372086""}","{""n"":""27""}","{""n"":""102""}"
"{""n"":""372""}","{""n"":""3756346""}","{""n"":""48""}","{""n"":""44""}"
"{""n"":""401""}","{""n"":""0""}","{""n"":""11""}","{""n"":""15""}"
"{""n"":""600""}","{""n"":""0""}","{""n"":""49""}","{""n"":""15""}"
"{""n"":""229.99999999999997""}","{""n"":""3873507""}","{""n"":""35""}","{""n"":""34""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""56""}","{""n"":""15""}"
"{""n"":""151""}","{""n"":""0""}","{""n"":""38""}","{""n"":""15""}"
"{""n"":""120""}","{""n"":""70189""}","{""n"":""13""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""94007""}","{""n"":""36""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""1085560""}","{""n"":""18""}","{""n"":""38""}"
"{""n"":""400""}","{""n"":""2911834""}","{""n"":""37""}","{""n"":""81""}"
"{""n"":""250""}","{""n"":""0""}","{""n"":""18""}","{""n"":""15""}"
"{""n"":""140""}","{""n"":""368648""}","{""n"":""51""}","{""n"":""18""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""16""}","{""n"":""15""}"
"{""n"":""800""}","{""n"":""94945814""}","{""n"":""36""}","{""n"":""500""}"
"{""n"":""200""}","{""n"":""1168961""}","{""n"":""26""}","{""n"":""38""}"
"{""n"":""900""}","{""n"":""12940244""}","{""n"":""31""}","{""n"":""414""}"
"{""n"":""530""}","{""n"":""3090730""}","{""n"":""40""}","{""n"":""53""}"
"{""n"":""80""}","{""n"":""839164""}","{""n"":""43""}","{""n"":""18""}"
"{""n"":""200""}","{""n"":""32158""}","{""n"":""31""}","{""n"":""15""}"
"{""n"":""375""}","{""n"":""66748""}","{""n"":""43""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""11167088""}","{""n"":""40""}","{""n"":""173""}"
"{""n"":""800""}","{""n"":""3066281""}","{""n"":""36""}","{""n"":""104""}"
"{""n"":""700""}","{""n"":""621958""}","{""n"":""32""}","{""n"":""25""}"
"{""n"":""250""}","{""n"":""2272565""}","{""n"":""36""}","{""n"":""87""}"
"{""n"":""970""}","{""n"":""7829688""}","{""n"":""36""}","{""n"":""150""}"
"{""n"":""1127""}","{""n"":""136824903""}","{""n"":""54""}","{""n"":""1878""}"
"{""n"":""657""}","{""n"":""7393585""}","{""n"":""15""}","{""n"":""136""}"
"{""n"":""250""}","{""n"":""11858""}","{""n"":""9""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""1165110""}","{""n"":""20""}","{""n"":""27""}"
"{""n"":""1020""}","{""n"":""1215353""}","{""n"":""33""}","{""n"":""45""}"
"{""n"":""400""}","{""n"":""346057012""}","{""n"":""38""}","{""n"":""674""}"
"{""n"":""150""}","{""n"":""103775""}","{""n"":""52""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""14042""}","{""n"":""28""}","{""n"":""15""}"
"{""n"":""1290""}","{""n"":""14747401""}","{""n"":""35""}","{""n"":""113""}"
"{""n"":""250""}","{""n"":""3927341""}","{""n"":""50""}","{""n"":""84""}"
"{""n"":""150""}","{""n"":""63172""}","{""n"":""18""}","{""n"":""15""}"
"{""n"":""350""}","{""n"":""710191""}","{""n"":""13""}","{""n"":""19""}"
"{""n"":""300""}","{""n"":""1105904""}","{""n"":""18""}","{""n"":""30""}"
"{""n"":""200""}","{""n"":""3905""}","{""n"":""20""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""388039""}","{""n"":""39""}","{""n"":""20""}"
"{""n"":""250""}","{""n"":""4349849""}","{""n"":""2""}","{""n"":""365""}"
"{""n"":""200""}","{""n"":""1791649""}","{""n"":""2""}","{""n"":""160""}"
"{""n"":""900""}","{""n"":""25999""}","{""n"":""27""}","{""n"":""15""}"
"{""n"":""950""}","{""n"":""2439707""}","{""n"":""27""}","{""n"":""55""}"
"{""n"":""465""}","{""n"":""149844391""}","{""n"":""6""}","{""n"":""820""}"
"{""n"":""200""}","{""n"":""582033""}","{""n"":""58""}","{""n"":""30""}"
"{""n"":""450""}","{""n"":""3376984""}","{""n"":""6""}","{""n"":""125""}"
"{""n"":""250""}","{""n"":""0""}","{""n"":""37""}","{""n"":""15""}"
"{""n"":""225""}","{""n"":""0""}","{""n"":""43""}","{""n"":""15""}"
"{""n"":""1000""}","{""n"":""0""}","{""n"":""35""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""58009""}","{""n"":""47""}","{""n"":""15""}"
"{""n"":""320""}","{""n"":""4262052""}","{""n"":""33""}","{""n"":""100""}"
"{""n"":""240""}","{""n"":""7902828""}","{""n"":""27""}","{""n"":""81""}"
"{""n"":""450""}","{""n"":""2867740""}","{""n"":""46""}","{""n"":""565""}"
"{""n"":""425""}","{""n"":""7490235""}","{""n"":""13""}","{""n"":""181""}"
"{""n"":""250""}","{""n"":""26586687""}","{""n"":""19""}","{""n"":""535""}"
"{""n"":""200""}","{""n"":""40280""}","{""n"":""24""}","{""n"":""15""}"
"{""n"":""105""}","{""n"":""1380255""}","{""n"":""20""}","{""n"":""23""}"
"{""n"":""900""}","{""n"":""146134060""}","{""n"":""10""}","{""n"":""4171""}"
"{""n"":""149""}","{""n"":""299905""}","{""n"":""29""}","{""n"":""19""}"
"{""n"":""150""}","{""n"":""0""}","{""n"":""3""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""554508""}","{""n"":""54""}","{""n"":""23""}"
"{""n"":""72""}","{""n"":""693300""}","{""n"":""45""}","{""n"":""18""}"
"{""n"":""300""}","{""n"":""590682""}","{""n"":""29""}","{""n"":""21""}"
"{""n"":""1300""}","{""n"":""7079834""}","{""n"":""19""}","{""n"":""272""}"
"{""n"":""250""}","{""n"":""308629""}","{""n"":""7""}","{""n"":""25""}"
"{""n"":""336""}","{""n"":""61986""}","{""n"":""45""}","{""n"":""15""}"
"{""n"":""575""}","{""n"":""6737455""}","{""n"":""5""}","{""n"":""267""}"
"{""n"":""200""}","{""n"":""1185995""}","{""n"":""15""}","{""n"":""45""}"
"{""n"":""300""}","{""n"":""0""}","{""n"":""34""}","{""n"":""15""}"
"{""n"":""700""}","{""n"":""3649368""}","{""n"":""48""}","{""n"":""105""}"
"{""n"":""149""}","{""n"":""0""}","{""n"":""23""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""6680129""}","{""n"":""24""}","{""n"":""309""}"
"{""n"":""250""}","{""n"":""72557""}","{""n"":""14""}","{""n"":""15""}"
"{""n"":""620""}","{""n"":""93940562""}","{""n"":""12""}","{""n"":""751""}"
"{""n"":""300""}","{""n"":""4319485""}","{""n"":""53""}","{""n"":""99""}"
"{""n"":""330""}","{""n"":""160243""}","{""n"":""38""}","{""n"":""15""}"
"{""n"":""687""}","{""n"":""2785357""}","{""n"":""28""}","{""n"":""93""}"
"{""n"":""250""}","{""n"":""474580""}","{""n"":""15""}","{""n"":""25""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""27""}","{""n"":""15""}"
"{""n"":""172""}","{""n"":""235238""}","{""n"":""5""}","{""n"":""23""}"
"{""n"":""125""}","{""n"":""350933""}","{""n"":""37""}","{""n"":""19""}"
"{""n"":""300""}","{""n"":""29587949""}","{""n"":""41""}","{""n"":""345""}"
"{""n"":""385""}","{""n"":""350540""}","{""n"":""10""}","{""n"":""25""}"
"{""n"":""250""}","{""n"":""6591871""}","{""n"":""33""}","{""n"":""249""}"
"{""n"":""1100""}","{""n"":""104104""}","{""n"":""25""}","{""n"":""65""}"
"{""n"":""200""}","{""n"":""2365996""}","{""n"":""5""}","{""n"":""160""}"
"{""n"":""105""}","{""n"":""1399987""}","{""n"":""43""}","{""n"":""23""}"
"{""n"":""350""}","{""n"":""1698130""}","{""n"":""15""}","{""n"":""42""}"
"{""n"":""150""}","{""n"":""69905""}","{""n"":""44""}","{""n"":""15""}"
"{""n"":""385""}","{""n"":""0""}","{""n"":""5""}","{""n"":""15""}"
"{""n"":""425""}","{""n"":""10878837""}","{""n"":""38""}","{""n"":""142""}"
"{""n"":""650""}","{""n"":""2354284""}","{""n"":""49""}","{""n"":""47""}"
"{""n"":""450""}","{""n"":""513002""}","{""n"":""7""}","{""n"":""25""}"
"{""n"":""300""}","{""n"":""311855""}","{""n"":""37""}","{""n"":""24""}"
"{""n"":""210""}","{""n"":""3973""}","{""n"":""50""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""2551772""}","{""n"":""58""}","{""n"":""265""}"
"{""n"":""300""}","{""n"":""0""}","{""n"":""55""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""12145""}","{""n"":""58""}","{""n"":""15""}"
"{""n"":""555""}","{""n"":""6815785""}","{""n"":""1""}","{""n"":""335""}"
"{""n"":""970""}","{""n"":""28215174""}","{""n"":""33""}","{""n"":""646""}"
"{""n"":""240""}","{""n"":""834194""}","{""n"":""23""}","{""n"":""34""}"
"{""n"":""200""}","{""n"":""838164""}","{""n"":""46""}","{""n"":""24""}"
"{""n"":""450""}","{""n"":""752613""}","{""n"":""2""}","{""n"":""45""}"
"{""n"":""100""}","{""n"":""27069491""}","{""n"":""57""}","{""n"":""390""}"
"{""n"":""500""}","{""n"":""17805931""}","{""n"":""17""}","{""n"":""367""}"
"{""n"":""1050""}","{""n"":""7206429""}","{""n"":""50""}","{""n"":""183""}"
"{""n"":""390""}","{""n"":""6760475""}","{""n"":""54""}","{""n"":""93""}"
"{""n"":""150""}","{""n"":""19458""}","{""n"":""13""}","{""n"":""15""}"
"{""n"":""180""}","{""n"":""0""}","{""n"":""57""}","{""n"":""15""}"
"{""n"":""35""}","{""n"":""12378572""}","{""n"":""37""}","{""n"":""78""}"
"{""n"":""250""}","{""n"":""29380""}","{""n"":""26""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""424520""}","{""n"":""4""}","{""n"":""30""}"
"{""n"":""300""}","{""n"":""1409283""}","{""n"":""27""}","{""n"":""61""}"
"{""n"":""600""}","{""n"":""466949""}","{""n"":""38""}","{""n"":""24""}"
"{""n"":""300""}","{""n"":""1102304""}","{""n"":""5""}","{""n"":""53""}"
"{""n"":""836""}","{""n"":""18620702""}","{""n"":""28""}","{""n"":""73""}"
"{""n"":""250""}","{""n"":""25893866""}","{""n"":""11""}","{""n"":""535""}"
"{""n"":""430""}","{""n"":""1617463""}","{""n"":""46""}","{""n"":""73""}"
"{""n"":""300""}","{""n"":""2179178""}","{""n"":""23""}","{""n"":""53""}"
"{""n"":""407""}","{""n"":""5913106""}","{""n"":""48""}","{""n"":""77""}"
"{""n"":""120""}","{""n"":""2668550""}","{""n"":""23""}","{""n"":""53""}"
"{""n"":""56.00000000000001""}","{""n"":""435989""}","{""n"":""53""}","{""n"":""16""}"
"{""n"":""200""}","{""n"":""1651032""}","{""n"":""58""}","{""n"":""180""}"
"{""n"":""200""}","{""n"":""586759""}","{""n"":""43""}","{""n"":""23""}"
"{""n"":""250""}","{""n"":""67997""}","{""n"":""30""}","{""n"":""15""}"
"{""n"":""400""}","{""n"":""35990""}","{""n"":""41""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""187086""}","{""n"":""36""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""139475""}","{""n"":""16""}","{""n"":""15""}"
"{""n"":""300""}","{""n"":""0""}","{""n"":""55""}","{""n"":""65""}"
"{""n"":""710""}","{""n"":""70969423""}","{""n"":""28""}","{""n"":""437""}"
"{""n"":""250""}","{""n"":""0""}","{""n"":""26""}","{""n"":""15""}"
"{""n"":""35""}","{""n"":""0""}","{""n"":""32""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""195697""}","{""n"":""51""}","{""n"":""15""}"
"{""n"":""455""}","{""n"":""50065""}","{""n"":""52""}","{""n"":""15""}"
"{""n"":""406""}","{""n"":""2745277""}","{""n"":""52""}","{""n"":""44""}"
"{""n"":""720""}","{""n"":""9101180""}","{""n"":""24""}","{""n"":""274""}"
"{""n"":""250""}","{""n"":""10321""}","{""n"":""30""}","{""n"":""15""}"
"{""n"":""149""}","{""n"":""0""}","{""n"":""28""}","{""n"":""15""}"
"{""n"":""570""}","{""n"":""2534087""}","{""n"":""25""}","{""n"":""114""}"
"{""n"":""250""}","{""n"":""0""}","{""n"":""27""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""996365""}","{""n"":""40""}","{""n"":""45""}"
"{""n"":""125""}","{""n"":""0""}","{""n"":""28""}","{""n"":""15""}"
"{""n"":""325""}","{""n"":""2323712""}","{""n"":""28""}","{""n"":""50""}"
"{""n"":""1605""}","{""n"":""216197229""}","{""n"":""20""}","{""n"":""2691""}"
"{""n"":""150""}","{""n"":""256017""}","{""n"":""58""}","{""n"":""23""}"
"{""n"":""600""}","{""n"":""1125024""}","{""n"":""1""}","{""n"":""93""}"
"{""n"":""150""}","{""n"":""1222480""}","{""n"":""37""}","{""n"":""19""}"
"{""n"":""600""}","{""n"":""211329""}","{""n"":""52""}","{""n"":""22""}"
"{""n"":""150""}","{""n"":""1198053""}","{""n"":""1""}","{""n"":""38""}"
"{""n"":""200""}","{""n"":""82016""}","{""n"":""21""}","{""n"":""15""}"
"{""n"":""225""}","{""n"":""103073""}","{""n"":""16""}","{""n"":""15""}"
"{""n"":""225""}","{""n"":""0""}","{""n"":""3""}","{""n"":""15""}"
"{""n"":""1150""}","{""n"":""5084997""}","{""n"":""56""}","{""n"":""410""}"
"{""n"":""750""}","{""n"":""6535506""}","{""n"":""7""}","{""n"":""239""}"
"{""n"":""1040""}","{""n"":""120712144""}","{""n"":""32""}","{""n"":""724""}"
"{""n"":""536""}","{""n"":""2837281""}","{""n"":""22""}","{""n"":""50""}"
"{""n"":""200""}","{""n"":""883785""}","{""n"":""13""}","{""n"":""45""}"
"{""n"":""200""}","{""n"":""2710279""}","{""n"":""7""}","{""n"":""138""}"
"{""n"":""1610""}","{""n"":""51516071""}","{""n"":""26""}","{""n"":""1175""}"
"{""n"":""850""}","{""n"":""30091296""}","{""n"":""3""}","{""n"":""970""}"
"{""n"":""450""}","{""n"":""28608809""}","{""n"":""44""}","{""n"":""531""}"
"{""n"":""350""}","{""n"":""8392438""}","{""n"":""53""}","{""n"":""187""}"
"{""n"":""200""}","{""n"":""64954059""}","{""n"":""30""}","{""n"":""402""}"
"{""n"":""250""}","{""n"":""4342576""}","{""n"":""23""}","{""n"":""127""}"
"{""n"":""1450""}","{""n"":""10831447""}","{""n"":""41""}","{""n"":""296""}"
"{""n"":""250""}","{""n"":""349985""}","{""n"":""12""}","{""n"":""25""}"
"{""n"":""200""}","{""n"":""5195""}","{""n"":""17""}","{""n"":""15""}"
"{""n"":""180""}","{""n"":""1402560""}","{""n"":""13""}","{""n"":""34""}"
"{""n"":""175""}","{""n"":""6671778""}","{""n"":""26""}","{""n"":""98""}"
"{""n"":""199""}","{""n"":""1919417""}","{""n"":""15""}","{""n"":""25""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""24""}","{""n"":""15""}"
"{""n"":""1300""}","{""n"":""35672299""}","{""n"":""7""}","{""n"":""412""}"
"{""n"":""856""}","{""n"":""95412556""}","{""n"":""31""}","{""n"":""597""}"
"{""n"":""225""}","{""n"":""0""}","{""n"":""11""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""443223""}","{""n"":""39""}","{""n"":""25""}"
"{""n"":""200""}","{""n"":""506874""}","{""n"":""51""}","{""n"":""19""}"
"{""n"":""647""}","{""n"":""154066885""}","{""n"":""26""}","{""n"":""737""}"
"{""n"":""180""}","{""n"":""2917932""}","{""n"":""6""}","{""n"":""140""}"
"{""n"":""125""}","{""n"":""0""}","{""n"":""23""}","{""n"":""15""}"
"{""n"":""300""}","{""n"":""82700""}","{""n"":""45""}","{""n"":""15""}"
"{""n"":""1390""}","{""n"":""205893448""}","{""n"":""4""}","{""n"":""5989""}"
"{""n"":""56.00000000000001""}","{""n"":""0""}","{""n"":""48""}","{""n"":""15""}"
"{""n"":""970""}","{""n"":""67691263""}","{""n"":""1""}","{""n"":""1247""}"
"{""n"":""550""}","{""n"":""21278096""}","{""n"":""43""}","{""n"":""267""}"
"{""n"":""250""}","{""n"":""1497596""}","{""n"":""37""}","{""n"":""45""}"
"{""n"":""98""}","{""n"":""7775481""}","{""n"":""27""}","{""n"":""81""}"
"{""n"":""600""}","{""n"":""1646505""}","{""n"":""16""}","{""n"":""42""}"
"{""n"":""300""}","{""n"":""84074""}","{""n"":""3""}","{""n"":""15""}"
"{""n"":""885""}","{""n"":""62531550""}","{""n"":""55""}","{""n"":""1422""}"
"{""n"":""250""}","{""n"":""2046144""}","{""n"":""19""}","{""n"":""87""}"
"{""n"":""430""}","{""n"":""1203653""}","{""n"":""53""}","{""n"":""38""}"
"{""n"":""450""}","{""n"":""253667""}","{""n"":""35""}","{""n"":""15""}"
"{""n"":""450""}","{""n"":""12743384""}","{""n"":""57""}","{""n"":""534""}"
"{""n"":""180""}","{""n"":""150352""}","{""n"":""42""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""269129""}","{""n"":""56""}","{""n"":""30""}"
"{""n"":""200""}","{""n"":""1008271""}","{""n"":""35""}","{""n"":""45""}"
"{""n"":""300""}","{""n"":""62037""}","{""n"":""60""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""19914""}","{""n"":""38""}","{""n"":""15""}"
"{""n"":""299""}","{""n"":""4478991""}","{""n"":""10""}","{""n"":""95""}"
"{""n"":""250""}","{""n"":""359973""}","{""n"":""16""}","{""n"":""25""}"
"{""n"":""575""}","{""n"":""49626257""}","{""n"":""49""}","{""n"":""813""}"
"{""n"":""149""}","{""n"":""0""}","{""n"":""14""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""5783077""}","{""n"":""38""}","{""n"":""127""}"
"{""n"":""250""}","{""n"":""460777""}","{""n"":""34""}","{""n"":""25""}"
"{""n"":""565""}","{""n"":""32751827""}","{""n"":""26""}","{""n"":""471""}"
"{""n"":""480""}","{""n"":""331178""}","{""n"":""23""}","{""n"":""25""}"
"{""n"":""650""}","{""n"":""15950878""}","{""n"":""4""}","{""n"":""655""}"
"{""n"":""300""}","{""n"":""1090444""}","{""n"":""48""}","{""n"":""21""}"
"{""n"":""900""}","{""n"":""14666988""}","{""n"":""39""}","{""n"":""326""}"
"{""n"":""600""}","{""n"":""0""}","{""n"":""36""}","{""n"":""15""}"
"{""n"":""400""}","{""n"":""1176714""}","{""n"":""32""}","{""n"":""32""}"
"{""n"":""150""}","{""n"":""351411""}","{""n"":""8""}","{""n"":""19""}"
"{""n"":""200""}","{""n"":""60075""}","{""n"":""43""}","{""n"":""15""}"
"{""n"":""98""}","{""n"":""3010384""}","{""n"":""5""}","{""n"":""90""}"
"{""n"":""229.99999999999997""}","{""n"":""18003""}","{""n"":""44""}","{""n"":""15""}"
"{""n"":""180""}","{""n"":""11078517""}","{""n"":""24""}","{""n"":""133""}"
"{""n"":""172""}","{""n"":""5723000""}","{""n"":""23""}","{""n"":""84""}"
"{""n"":""150""}","{""n"":""9742""}","{""n"":""37""}","{""n"":""15""}"
"{""n"":""225""}","{""n"":""231226""}","{""n"":""14""}","{""n"":""21""}"
"{""n"":""150""}","{""n"":""338143""}","{""n"":""23""}","{""n"":""19""}"
"{""n"":""180""}","{""n"":""219967""}","{""n"":""49""}","{""n"":""70""}"
"{""n"":""300""}","{""n"":""53971""}","{""n"":""6""}","{""n"":""15""}"
"{""n"":""400""}","{""n"":""1908112""}","{""n"":""24""}","{""n"":""55""}"
"{""n"":""180""}","{""n"":""2727041""}","{""n"":""34""}","{""n"":""90""}"
"{""n"":""349""}","{""n"":""2489272""}","{""n"":""25""}","{""n"":""50""}"
"{""n"":""300""}","{""n"":""50145""}","{""n"":""42""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""2746281""}","{""n"":""21""}","{""n"":""127""}"
"{""n"":""250""}","{""n"":""61996""}","{""n"":""53""}","{""n"":""15""}"
"{""n"":""600""}","{""n"":""41977""}","{""n"":""30""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""500364""}","{""n"":""27""}","{""n"":""21""}"
"{""n"":""250""}","{""n"":""570767""}","{""n"":""32""}","{""n"":""25""}"
"{""n"":""600""}","{""n"":""1178197""}","{""n"":""41""}","{""n"":""45""}"
"{""n"":""180""}","{""n"":""6413136""}","{""n"":""47""}","{""n"":""140""}"
"{""n"":""1100""}","{""n"":""5506253""}","{""n"":""40""}","{""n"":""166""}"
"{""n"":""105""}","{""n"":""1390754""}","{""n"":""59""}","{""n"":""40""}"
"{""n"":""600""}","{""n"":""224725""}","{""n"":""17""}","{""n"":""72""}"
"{""n"":""250""}","{""n"":""3626894""}","{""n"":""45""}","{""n"":""84""}"
"{""n"":""250""}","{""n"":""272802""}","{""n"":""29""}","{""n"":""25""}"
"{""n"":""780""}","{""n"":""488070""}","{""n"":""52""}","{""n"":""19""}"
"{""n"":""56.00000000000001""}","{""n"":""1221992""}","{""n"":""23""}","{""n"":""19""}"
"{""n"":""200""}","{""n"":""87912""}","{""n"":""15""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""703139""}","{""n"":""9""}","{""n"":""30""}"
"{""n"":""1950""}","{""n"":""18209538""}","{""n"":""14""}","{""n"":""322""}"
"{""n"":""125""}","{""n"":""0""}","{""n"":""16""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""3146960""}","{""n"":""19""}","{""n"":""132""}"
"{""n"":""250""}","{""n"":""177482""}","{""n"":""31""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""25995""}","{""n"":""7""}","{""n"":""15""}"
"{""n"":""445""}","{""n"":""10355642""}","{""n"":""50""}","{""n"":""153""}"
"{""n"":""210""}","{""n"":""10062""}","{""n"":""6""}","{""n"":""15""}"
"{""n"":""210""}","{""n"":""4054""}","{""n"":""44""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""917620""}","{""n"":""7""}","{""n"":""38""}"
"{""n"":""250""}","{""n"":""5993""}","{""n"":""27""}","{""n"":""15""}"
"{""n"":""120""}","{""n"":""363774""}","{""n"":""44""}","{""n"":""19""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""17""}","{""n"":""15""}"
"{""n"":""840""}","{""n"":""123991""}","{""n"":""1""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""0""}","{""n"":""33""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""3764285""}","{""n"":""25""}","{""n"":""139""}"
"{""n"":""250""}","{""n"":""43967""}","{""n"":""2""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""4305180""}","{""n"":""7""}","{""n"":""189""}"
"{""n"":""250""}","{""n"":""3438389""}","{""n"":""41""}","{""n"":""190""}"
"{""n"":""250""}","{""n"":""329328""}","{""n"":""39""}","{""n"":""25""}"
"{""n"":""105""}","{""n"":""9192152""}","{""n"":""31""}","{""n"":""109""}"
"{""n"":""229.99999999999997""}","{""n"":""99577""}","{""n"":""46""}","{""n"":""15""}"
"{""n"":""136""}","{""n"":""793939""}","{""n"":""5""}","{""n"":""38""}"
"{""n"":""650""}","{""n"":""12428979""}","{""n"":""12""}","{""n"":""361""}"
"{""n"":""450""}","{""n"":""150145""}","{""n"":""4""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""60230""}","{""n"":""33""}","{""n"":""15""}"
"{""n"":""600""}","{""n"":""18449022""}","{""n"":""41""}","{""n"":""122""}"
"{""n"":""300""}","{""n"":""30319""}","{""n"":""21""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""3002906""}","{""n"":""8""}","{""n"":""65""}"
"{""n"":""280""}","{""n"":""1210996""}","{""n"":""22""}","{""n"":""38""}"
"{""n"":""430""}","{""n"":""4164876""}","{""n"":""38""}","{""n"":""100""}"
"{""n"":""498""}","{""n"":""3642342""}","{""n"":""18""}","{""n"":""65""}"
"{""n"":""850""}","{""n"":""800391""}","{""n"":""53""}","{""n"":""38""}"
"{""n"":""376""}","{""n"":""121947""}","{""n"":""33""}","{""n"":""15""}"
"{""n"":""280""}","{""n"":""133325""}","{""n"":""9""}","{""n"":""15""}"
"{""n"":""200""}","{""n"":""102917""}","{""n"":""29""}","{""n"":""15""}"
"{""n"":""250""}","{""n"":""3403036""}","{""n"":""38""}","{""n"":""141""}"
"{""n"":""200""}","{""n"":""28059""}","{""n"":""52""}","{""n"":""15""}"
"{""n"":""125""}","{""n"":""127913""}","{""n"":""20""}","{""n"":""15""}"
"{""n"":""1050""}","{""n"":""5550828""}","{""n"":""10""}","{""n"":""199""}"
"{""n"":""250""}","{""n"":""436844""}","{""n"":""6""}","{""n"":""35""}"
"{""n"":""250""}","{""n"":""793630""}","{""n"":""13""}","{""n"":""45""}"
"{""n"":""450""}","{""n"":""0""}","{""n"":""19""}","{""n"":""15""}"
"{""n"":""100""}","{""n"":""5810186""}","{""n"":""33""}","{""n"":""125""}"
"{""n"":""200""}","{""n"":""205698""}","{""n"":""15""}","{""n"":""65""}"
"{""n"":""35""}","{""n"":""13540280""}","{""n"":""25""}","{""n"":""97""}"
"{""n"":""200""}","{""n"":""311942""}","{""n"":""49""}","{""n"":""21""}"
"{""n"":""1520""}","{""n"":""87428704""}","{""n"":""16""}","{""n"":""948""}"
"{""n"":""550""}","{""n"":""22858084""}","{""n"":""15""}","{""n"":""240""}"
"{""n"":""280""}","{""n"":""0""}","{""n"":""43""}","{""n"":""15""}"
"{""n"":""149""}","{""n"":""0""}","{""n"":""33""}","{""n"":""15""}"
"{""n"":""150""}","{""n"":""503699""}","{""n"":""60""}","{""n"":""25""}"
"{""n"":""125""}","{""n"":""6332742""}","{""n"":""55""}","{""n"":""187""}"
